checkEnvironment;checkPhysical;ppd;checkEmotion;room;hour;minute;humidity;luminosity;temperature;pmv;emotion
1.0;0.0;37.75496799744695;0.0;10.0;14.0;20.0;38.7128274461538;184.991857508791;20.8506593406593;-1.2505812364021727;1.0
1.0;1.0;11.288110852342058;0.0;11.0;14.0;20.0;31.1679942483516;240.535526486813;23.4008241758242;-0.5480878178639605;1.0
0.0;1.0;12.779695689136105;1.0;12.0;14.0;20.0;25.9855550534799;164.199661422344;27.4218315018315;0.6090427033414811;3.0
0.0;1.0;5.021178006311104;0.0;13.0;14.0;20.0;27.946471520442;943.494765141436;25.436408839779;0.03198468989572919;4.0
0.0;0.0;35.41326837657816;1.0;14.0;14.0;20.0;21.4983544088889;7.41746690584444;29.5342222222222;1.2033896682107479;3.0
0.0;1.0;5.260568543557312;0.0;15.0;14.0;20.0;27.7903754457143;887.026105612;25.710619047619;0.11216277726396674;4.0
0.0;1.0;10.569604333558686;1.0;16.0;14.0;20.0;25.1031899912088;26.0321648567363;27.1365934065934;0.5160907068363412;3.0
0.0;1.0;5.817958662963889;0.0;17.0;14.0;20.0;27.4036645352941;799.894332893713;26.0107720588235;0.19860921816314178;4.0
1.0;1.0;10.084398840729875;0.0;18.0;14.0;20.0;31.9615644263736;667.404342464835;23.568021978022;-0.4932785241156647;4.0
1.0;0.0;31.00261295037248;0.0;19.0;14.0;20.0;35.68742988;238.884819883222;21.389;-1.1106483704758927;1.0
0.0;1.0;5.60884566980549;0.0;20.0;14.0;20.0;27.5316920755556;497.775607646667;25.9156666666667;0.17138846912844097;4.0
1.0;1.0;9.850444351906532;0.0;21.0;14.0;20.0;30.509146967033;1299.26073685604;23.6406593406593;-0.48188317094931055;4.0
0.0;0.0;99.75607455126199;1.0;22.0;14.0;20.0;75.5397664516129;919.342041009677;13.4451612903226;-3.2370419284136474;3.0
1.0;0.0;27.873673756983948;0.0;1.0;14.0;30.0;36.749070821978;771.574921667033;21.6045054945055;-1.04091279503275;4.0
0.0;1.0;7.704257723478975;0.0;3.0;14.0;30.0;30.1101860395604;443.846314826593;24.0606593406593;-0.36046469196769865;4.0
1.0;1.0;15.101307462683181;0.0;4.0;14.0;30.0;32.4163711252747;383.523794326374;22.8801098901099;-0.6931113767854626;4.0
0.0;1.0;5.121151664846124;0.0;5.0;14.0;30.0;29.64522335427;1026.3111965854;25.0285123966942;-0.07649224203044268;4.0
0.0;1.0;5.615796285361782;1.0;6.0;14.0;30.0;27.5190025979592;186.540642566276;25.9197959183673;0.17236273151225373;3.0
0.0;1.0;22.134307089142524;0.0;7.0;14.0;30.0;40.8514440066667;62.7517700181667;21.9931666666667;-0.9008023710057637;1.0
1.0;1.0;12.520721545656599;0.0;8.0;14.0;30.0;31.959224378022;1108.27435503407;23.2106593406593;-0.598915871007119;4.0
0.0;1.0;16.24241464546219;0.0;9.0;14.0;30.0;32.8890855340659;58.6876502420879;22.7410989010989;-0.7308346728594927;1.0
1.0;0.0;37.45610715711814;0.0;10.0;14.0;30.0;38.6223486177778;196.033053930444;20.8723333333333;-1.244624841128798;1.0
1.0;1.0;10.416720247930755;0.0;11.0;14.0;30.0;30.9650036773481;262.244630255912;23.5375138121547;-0.5090159324896303;1.0
0.0;1.0;11.979889033672166;1.0;12.0;14.0;30.0;26.0947645544118;168.365590712059;27.311875;0.5771796702904762;3.0
0.0;1.0;5.011175508459985;0.0;13.0;14.0;30.0;28.062388167033;1017.32945703681;25.4053846153846;0.023234747806821884;4.0
0.0;0.0;35.7273008879541;1.0;14.0;14.0;30.0;21.5071802461538;7.67131428198901;29.556043956044;1.2097908165229114;3.0
